Position,Team,Laps,Total Time
1,Alpine Endurance Team #36,400,86430.281
2,AF Corse #83,400,86435.062
3,Genesis Magma Racing #17,400,86521.625
4,BMW M Team WRT #20,400,86542.203
5,Aston Martin THOR Team #009,400,86544.570
6,Peugeot TotalEnergies #94,400,86548.812
7,Toyota Racing #7,400,86551.539
8,Peugeot TotalEnergies #93,400,86561.445
9,Cadillac Hertz Team JOTA #12,399,86449.047
10,Ferrari AF Corse #51,399,86480.758
11,Cadillac Hertz Team JOTA #38,399,86505.555
12,Alpine Endurance Team #35,399,86547.430
13,Genesis Magma Racing #19,356,77006.359
14,Ferrari AF Corse #50,294,63662.445
15,Aston Martin THOR Team #007,224,48357.152
16,Toyota Racing #8,71,15067.400
17,BMW M Team WRT #15,67,14209.995
